[11-Jan-2022 21:11:07 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:11:07 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:13:21 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:13:21 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:13:21 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:13:21 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:13:21 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:14:17 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:14:17 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:14:17 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:14:17 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:14:17 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:14:19 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:14:19 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:14:19 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:14:19 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:14:19 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:14:23 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:14:23 UTC] PHP Notice:  Undefined index: nameErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:14:23 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:14:23 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:14:23 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:14:23 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:14:23 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:15:44 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:15:44 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 125
[11-Jan-2022 21:15:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 125
[11-Jan-2022 21:15:44 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 134
[11-Jan-2022 21:15:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 134
[11-Jan-2022 21:16:33 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:16:33 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 125
[11-Jan-2022 21:16:33 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 125
[11-Jan-2022 21:16:33 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 134
[11-Jan-2022 21:16:33 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 134
[11-Jan-2022 21:16:34 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:16:34 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 125
[11-Jan-2022 21:16:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 125
[11-Jan-2022 21:16:34 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 134
[11-Jan-2022 21:16:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 134
[11-Jan-2022 21:17:05 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
